anio,mes,multilateral,usd,real,peso_chileno,euro,libra_esterlina,guarani,nuevo_shekel,peso_mexicano,peso_uruguayo
2015,Octubre,195.560482,182.2254035,188.5701915,193.9142475,214.4815191,194.1057884,247.2297185,166.188118,130.4451938,209.3188078
2015,Noviembre,191.501117,179.8665352,191.1571239,184.7729422,203.8508538,187.7893676,250.9945384,163.4858781,129.3383221,211.50266
2015,Diciembre,249.6067078,233.2781238,247.4527821,242.8603432,273.6662266,240.659618,317.7493071,212.1476023,162.5023332,267.3187062
2016,Enero,251.8377108,239.402342,251.1055995,248.3210785,273.8433168,235.011678,324.4659708,212.820615,159.5788379,268.0096783
2016,Febrero,274.6624926,257.8507887,273.3671399,275.7825339,297.8987605,247.042072,372.967903,230.8974003,170.9457449,289.5649688
2016,Marzo,259.7354952,236.3940951,275.5851443,254.5254778,284.9672189,235.0103611,335.3215292,217.3417351,165.2754059,263.7179955
2016,Abril,242.9955476,218.0432428,266.055265,240.8990266,263.7924976,219.1727543,314.8936608,202.7710288,151.9171439,244.8158722
2016,Mayo,220.8395547,202.8031424,239.8838308,213.401422,239.264714,203.3807941,285.760019,183.3069862,130.4134606,232.8104861
2016,Junio,234.1276776,211.520412,275.0082422,229.3541993,248.290085,194.1326029,299.5693879,190.4411576,134.1381463,244.9256969
2016,Julio,232.5128587,207.5870091,274.6386024,228.9767763,244.5693691,188.370271,296.0621885,190.3925315,131.7875317,252.5407535
2016,Agosto,237.0636274,210.5788724,280.6826468,230.6209753,247.9721349,189.5425394,303.4685115,193.8200105,134.4221213,266.0360786
2016,Septiembre,239.896398,212.0935506,283.3044737,238.7933562,251.4147293,189.6226558,302.301291,196.4413871,130.90958,271.2930805
2016,Octubre,227.24956,201.5289425,271.0005469,229.7546395,234.1083931,168.7675468,281.2346509,182.0763247,127.6655129,262.5123953
2016,Noviembre,223.008156,204.4304679,259.4837907,224.5298334,229.5090763,175.4483558,281.8336692,184.7336626,120.273158,256.3691151
2016,Diciembre,227.7506366,206.5555072,274.395316,229.3438246,231.4961688,176.050287,289.6963328,186.4043228,121.8086454,259.8543885
2017,Enero,228.6320331,203.9720824,280.9401818,233.3475819,228.8309774,175.2969021,284.9931121,187.9483889,120.7639573,268.4095308
2017,Febrero,219.2869135,194.9439589,270.3743576,223.2627653,216.4312606,166.7103939,283.4974396,183.7574655,121.3992994,256.1328848
2017,Marzo,212.9355012,188.8249353,261.1511027,209.6175436,214.2221678,162.2903945,267.4347575,181.1668959,125.454139,247.20824
2017,Abril,209.3256418,185.2669539,251.5115627,202.998561,213.4165485,165.6439619,268.0956082,177.4691934,122.050003,243.9376236
2017,Mayo,214.549709,189.5559619,251.606531,206.6081587,223.2144487,168.6348463,272.8620502,185.5780658,126.4578041,249.7759894
2017,Junio,219.1245326,191.7990699,251.1939365,212.2107057,230.8850035,172.1928449,279.8011876,189.6680325,132.828775,253.216712
2017,Julio,237.7585569,203.8702271,280.2230067,231.4893982,251.6862218,185.3429327,298.851389,197.5257299,142.9401697,269.0115345
2017,Agosto,230.394121,196.6031675,267.5297156,232.0391448,246.3463337,176.3038915,281.7464135,189.6894744,137.8736003,257.2549725
2017,Septiembre,227.0965003,195.5204447,263.6963508,225.9187032,242.0782061,181.3723275,280.11218,190.3719476,133.926989,254.0632836
2017,Octubre,223.4958402,194.2148911,256.6368463,226.0217831,237.2828049,177.4098957,280.0743835,190.1490466,127.1045776,251.5308798
2017,Noviembre,220.1281868,189.1369401,252.9271016,218.4660058,235.6776189,176.3903762,274.0125648,185.7354196,129.3147377,247.7014002
2017,Diciembre,233.8143807,199.4497324,260.2257444,241.157544,252.2654284,187.958335,295.8662619,198.0383321,129.2403489,265.115005
2018,Enero,244.641185,203.9080913,277.4513012,250.4988535,263.0376176,199.6308267,302.2776034,204.1679772,139.3435735,281.0417902
2018,Febrero,245.7719896,205.7288139,273.3437397,258.3145832,262.6318069,198.3247348,306.6849762,200.8807708,140.0408351,284.3026914
2018,Marzo,239.6034246,201.0920244,261.1644574,245.7392964,259.294357,194.8846768,300.2840344,195.4807573,141.1032677,278.474033
2018,Abril,234.5397761,199.9850633,247.6749862,243.7226918,253.6213613,190.3357514,297.9683044,189.6466638,135.8990946,276.4966954
2018,Mayo,266.2002301,238.0298215,273.3982235,279.4847244,289.0658498,218.0981177,341.7954652,226.3312488,151.629463,300.2472897
2018,Junio,292.0937101,262.9180722,295.1106277,298.1513049,320.2559029,238.3182069,382.4412521,244.7225733,167.9900808,332.5646933
2018,Julio,276.96166,245.7390465,287.3225199,283.5696171,299.2824484,222.2428468,354.0017022,228.3077958,167.7302081,319.0348299
2018,Agosto,343.4410616,313.3868018,329.434954,345.1927963,381.9431847,282.8183907,444.8619938,295.3070758,209.7388612,394.363837
2018,Septiembre,353.2729838,320.3240123,346.9077732,359.5600996,392.2455981,291.3042906,449.7988244,302.7820197,217.3258506,394.4658904
2018,Octubre,315.3407807,287.9975232,338.5399827,309.1239679,342.7734892,254.4289127,399.2533308,264.6512894,184.4340405,352.8135432
2018,Noviembre,319.010101,288.8888394,332.8173075,324.0466329,344.7535495,258.1840531,409.1227515,313.7316746,185.4050107,361.4896108
2018,Diciembre,306.661121,277.815485,319.1161809,301.767072,334.1818237,247.2451704,391.5362836,297.6727359,185.3910991,349.2423242
